,Islamic,,Islamic_History,,Personality,,Short Story,,Poetry,,Language,,Geography,,History,,Scientific,,Society,,Novel
Intasab,1,Mukhtasar Tarikh-e-Islam,1,Siraj-ud-dawla,1,Suraj Kahani,2,,,Balochistan mein Nonohalon ka Adab,1,,,Asbab-e-Baghawat-e-Hind,1,Amraz-e-Jild Aur ilaj-e-Nabwi,1,Fan-e-Taleem-o-Tarbiyat,1,Khufiyan Agenciyon ki Dehshatgardi,1
Haqooq-o-Faraiz,1,10 Musalman Sifasalar,1,Suhail-Bin-Amar,2,Jaungle Mein Mangal,1,,,Brahwi Zuban mein Islami Adab,1,,,,,,,Ustad,1,,
Khutbat,1,,,The Muslim 100,1,Khanzana,1,,,,,,,,,,,Muhabbat ki Haqeeqat,1,,
Masnoon Namaz,1,,,Babar,1,Rozgar-e-Fakeer,1,,,,,,,,,,,Fikar-o-Tehqeeq,1,,
,,,,Sher shah Suri,1,The Walk Away,1,,,,,,,,,,,Dua  aur Dawa,1,,
,,,,Pyare Nabi ki Sirat,1,Fakhta Ko Ana Hai,1,,,,,,,,,,,bache ki Tarbiyat,1,,
,,,,Hazrat Younas,1,Jugnoo,1,,,,,,,,,,,,,,
,,,,Hazrat Suleiman,1,Focus,1,,,,,,,,,,,,,,
,,,,Imad-ud-Din Zangi,1,Hikmat Bhari Kahaniyan,1,,,,,,,,,,,,,,
,,,,Abu Ubaida Bin Jarah,1,Pilot Ka Wada,1,,,,,,,,,,,,,,
,,,,Haidar Ali,1,Purani Kahaniyan,1,,,,,,,,,,,,,,
,,,,Sultan Muhammad Fateh,2,,,,,,,,,,,,,,,,
,,,,Mother Milat,1,,,,,,,,,,,,,,,,
,,,,Um-e-Amaara,2,,,,,,,,,,,,,,,,
,,,,Muahmmad bin Qasim,2,,,,,,,,,,,,,,,,
,,,,Shamsudin Altamish,1,,,,,,,,,,,,,,,,
